YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR
2025,1,1,1/1/2025 0:00,AS,1062,14057,1405702,34057,PDX,"Portland, OR",OR,10800,1080003,32575,BUR,"Burbank, CA",CA
2025,1,1,1/1/2025 0:00,AS,1067,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1068,10299,1029906,30299,ANC,"Anchorage, AK",AK,11630,1163003,31517,FAI,"Fairbanks, AK",AK
2025,1,1,1/1/2025 0:00,AS,1070,14057,1405702,34057,PDX,"Portland, OR",OR,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1071,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1072,11630,1163003,31517,FAI,"Fairbanks, AK",AK,10299,1029906,30299,ANC,"Anchorage, AK",AK
2025,1,1,1/1/2025 0:00,AS,1075,14771,1477104,32457,SFO,"San Francisco, CA",CA,12889,1288904,32211,LAS,"Las Vegas, NV",NV
2025,1,1,1/1/2025 0:00,AS,1076,14057,1405702,34057,PDX,"Portland, OR",OR,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1077,12889,1288904,32211,LAS,"Las Vegas, NV",NV,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1078,14771,1477104,32457,SFO,"San Francisco, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,108,10299,1029906,30299,ANC,"Anchorage, AK",AK,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1080,14747,1474703,30559,SEA,"Seattle, WA",WA,14831,1483106,32457,SJC,"San Jose, CA",CA
2025,1,1,1/1/2025 0:00,AS,1083,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1084,14747,1474703,30559,SEA,"Seattle, WA",WA,14831,1483106,32457,SJC,"San Jose, CA",CA
2025,1,1,1/1/2025 0:00,AS,1085,14747,1474703,30559,SEA,"Seattle, WA",WA,14831,1483106,32457,SJC,"San Jose, CA",CA
2025,1,1,1/1/2025 0:00,AS,1086,14747,1474703,30559,SEA,"Seattle, WA",WA,13891,1389101,32575,ONT,"Ontario, CA",CA
2025,1,1,1/1/2025 0:00,AS,109,14747,1474703,30559,SEA,"Seattle, WA",WA,10299,1029906,30299,ANC,"Anchorage, AK",AK
2025,1,1,1/1/2025 0:00,AS,1091,13891,1389101,32575,ONT,"Ontario, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1092,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1093,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
